 * Serving Flask app "app" (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on http://127.0.0.1:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [13/Jul/2026 03:39:14] "GET /student HTTP/1.1" 200 -
127.0.0.1 - - [13/Jul/2026 03:39:14] "GET /static/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:39:14] "GET /static/styles.css?v=11 HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:39:15] "GET /static/bot-avatar.png?v=2 HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:39:15] "GET /static/icon-192.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:39:15] "GET /static/manifest.json HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:39:15] "GET /static/icon-192.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:39:16] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jul/2026 03:41:28] "GET /student HTTP/1.1" 200 -
127.0.0.1 - - [13/Jul/2026 03:41:28] "GET /static/styles.css?v=11 HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:41:28] "GET /static/bot-avatar.png?v=2 HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:41:28] "GET /static/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:41:28] "GET /static/icon-192.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:41:28] "GET /static/manifest.json HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:41:28] "GET /static/icon-192.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:41:30] "GET /sw.js HTTP/1.1" 200 -
127.0.0.1 - - [13/Jul/2026 03:42:15] "GET /student HTTP/1.1" 200 -
127.0.0.1 - - [13/Jul/2026 03:42:15] "GET /static/styles.css?v=11 HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:42:15] "GET /static/logo.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:42:15] "GET /static/bot-avatar.png?v=2 HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:42:15] "GET /static/icon-192.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:42:15] "GET /static/manifest.json HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:42:15] "GET /static/icon-192.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:42:15] "GET /static/icon-192.png HTTP/1.1" 304 -
127.0.0.1 - - [13/Jul/2026 03:42:17] "GET /sw.js HTTP/1.1" 200 -
